Aakash Patel (AVP)
Aaron Davis (ADS)
Abhijith Chatra (AC)
Adam Klein (AK)
Adam Vandolder (AVR)
Aditi Singh (ADT)
Adrian Caballero (AEC)
Adrian Hall (AHL)
Aki Braun (AKI)
Akrosh Gandhi (AGI)
Alan Schmitt (AS)
Alessia Bellisario (AMB)
Alex Rattray (ARY)
Alex Russell (AR)
Alex Vincent (AVT)
Alexey Shvayka (ASH)
Aliaksander Palpko (APO)
Alissa Renz (ARZ)
Allen Wirfs-Brock (AWB)
Amal Hussein (AHN)
André Bargull (ABL)
Andreas Rossberg (ARB)
Andreas Woess (AWO)
Andres Suarez (ASZ)
Andreu Botella (ABO)
Andrew Branch (ACB)
Andrew Brown (ABN)
Andrew Burgese (ABE)
Andrew Burgess (ABS)
Andrew Paprocki (API)
Andy Fleming (AFG)
Angela Wang (AWG)
Anna Henningsen (AH)
Anne van Kesteren (AVK)
Anthony Bullard (ABU)
Armin Ronacher (ARO)
Arnaud Le Hors (ALH)
Ashley Claymore (ACE)
Ashley Hauck (AEH)
Ashley Williams (AWS)
Asumu Takikawa (ATA)
Attila Bartha (ABA)
Augustus Yuan (AYN)
Avik Chaudhuri (AVC)
Axel Rauschmayer (ARR)
Aysegul Yonet (AYS)
Ben Allen (BAN)
Ben Coe (BCE)
Ben Lichtman (BLN)
Ben Newman (BN)
Ben Smith (BS)
Ben Titzer (BTR)
Benjamin Georges (BGS)
Benoit Girard (BGD)
Bernd Mathiske (BM)
Bert Belder (BBR)
Bill Ticehurst (BTT)
Bob Myers (RTM)
Boris Zbarsky (BZ)
Brad Decker (BDR)
Brad Green (BG)
Brad Nelson (BNN)
Bradford Smith (BSH)
Bradley Farias (BFS)
Brandon Benvie (BB)
Brendan Eich (BE)
Brian Douglas (BDS)
Brian Kim (BRK)
Brian Terlson (BT)
Brian Warner (BWR)
Brittany Storoz (BSZ)
Bron Gondwana (BNG)
Caio Gondim (CGM)
Caio Lima (CLA)
Cam Tenny (CJT)
Caridy Patiño (CP)
Caroline Cullen (CCU)
Chengzhong Wu (CZW)
Chip Morningstar (CM)
Chris Anderson (CAN)
Chris de Almeida (CDA)
Chris Hyle (CHE)
Chris Needham (CNM)
Christian Ulbrich (CHU)
Christian Wirth (CWH)
Christoph Nakazawa (CNA)
Christopher Blappert (CBT)
Chyi Pin Lim (LCP)
Clark Sampson (CSN)
Claude Pache (CPE)
Colin Ihrig (CJI)
Conrad Watt (CWT)
Conrad Watts (CWS)
Corey Frang (CF)
Corey Roy (CJR)
Craig Cornelius (CCN)
Cristian Mattarei (CMI)
Cuili (CLI)
Dale Bustad (DBD)
Damien Engels (DES)
Dan Abramov (DAV)
Dan Chao (DHC)
Dan Clark (DDC)
Dan Finlay (DJF)
Dan Gohman (DGN)
Dan Minor (DLM)
Dan Stefan (DAS)
Daniel Clifford (DCD)
Daniel Ehrenberg (DE)
Daniel Rosenwasser (DRR)
Daniel Veditz (DVE)
Daniele Bonetta (DBA)
Dave Herman (DH)
Dave Poole (DMP)
David Enke (DEN)
David Rudin (DRN)
David Teller (DTL)
David Turissini (DTI)
David Walsh (DJW)
Davidson Fellipe (DFS)
Dean Tribble (DT)
Devin Rousso (DRO)
Diego Ferreiro Val (DFV)
Dmitry Lomov (DL)
Dmitry Soshnikov (DS)
Domenic Denicola (DD)
Doug Crockford (DC)
Dr. Felienne Hermans (FHS)
Duncan MacGregor (DMM)
Dustin Savery (DSY)
Edd Yerburgh (EYH)
Edgar Barragan (EDB)
Edward Yang (EY)
Eemeli Aro (EAO)
Emily Huynh (EHH)
Eric Faust (EFT)
Eric Ferraiuolo (EF)
Eric Holk (EHK)
Eric Toth (ET)
Erica Pramer (EPR)
Erik Arvidsson (EA)
Erik Marks (REK)
Fabio Rocha (FRA)
Federico Bucchi (FED)
Felipe Balbontín (FBN)
Filip Pizlo (FP)
Forrest Norvell (FN)
Francisco Tolmasky (FRT)
Frank Yung-Fong Tang (FYT)
Franziska Hinkelmann (FHN)
Frederik Braun (FDY)
Gabriel Isenberg (GI)
Gabriel McAdams (GMS)
Georg Neis (GN)
George Zahariev (GKZ)
Godfrey Chan (GCN)
Gonzalo Cordero (GCO)
Gorkem Yakin (GY)
Granville Schmidt (GRS)
Greg Tatum (GPT)
Greg Whitworth (GCW)
Guanyu Liu (LGY)
Guilherme Hermeto (GHO)
Gus Caplan (GCL)
Guy Bedford (GB)
He Zhou (HZO)
Hemanth HM (HHM)
Henry Zhu (HZU)
Hugo van der Merwe (HUG)
Iain Ireland (IID)
Ian Halliday (IH)
Igor Minar (IMR)
Ilias Tsangaris (IT)
Ilya Grigorik (IGK)
Ioanna M. Dimitriou H. (IOA)
Isaac Durazo (IDO)
Isabelle Valet-Harper (IVH)
István Sebestyén (IS)
Jack Steinberg (JBS)
Jack Works (JWK)
Jacob Groundwater (JBG)
Jacob Page (JPG)
Jafar Husain (JH)
Jahziel Villasana (JVA)
Jake Archibald (JAD)
Jakob Kummerow (JKW)
James Burke (JRB)
James M Snell (JSL)
Jamie Kyle (JK)
Jamund Ferguson (JXF)
Jan Stola (JSA)
Jason Nutter (JAN)
Jason Orendorff (JTO)
Jason Williams (JWS)
Jason Yu (JYU)
Jasvir Naga (JNA)
Jaswanth Sreeram (JS)
Jean-Francois Paradis (JFP)
Jeff Long (JHL)
Jeff Morrison (JM)
Jeff Walden (JSW)
Jem Young (JZY)
Jenna Zeigen (JAZ)
Jesse Alama (JMN)
JF Bastien (JFB)
Jihyeok Park (JHP)
Jiming Yang (YJM)
Jirka Marsik (JMK)
Joe Lencioni (JLI)
Joe Mordetsky (JMY)
Joe Sepi (JSI)
Joel Marcey (JMA)
Joffrey Richten (JRN)
John Buchanan (JB)
John Hax (JHX)
John Lenz (JLZ)
John McCutchan (JMC)
John Neumann (JN)
John Pampuch (JP)
John-David Dalton (JDD)
Jonathan Dallas (JDS)
Jonathan Keslin (JKN)
Jonathan Kuperman (JKP)
Jonathan Sampson (JSN)
Jonathan Turner (JT)
Jordan Gensler (JGR)
Jordan Harband (JHD)
Jorge Lopez (JEL)
Jory Burson (JBN)
Jose David Rodrigues Veloso (JVO)
Josh Blaney (JPB)
Joshua Peek (JPK)
Joshua S. Choi (JSC)
Joyee Cheung (JCG)
Juan Dopazo (JDO)
Julien Gilli (JGI)
Justin Fagnani (JFI)
Justin Grant (JGT)
Justin Ridgewell (JRL)
Kai Gong (KGO)
Kat Z. Marchán (KZM)
Katie Broida (KBA)
Kawika Bader (KBR)
Keith Cirkel (KCL)
Keith Miller (KM)
Kent C. Dodds (KCD)
Kevin Gibbons (KG)
Kevin Reid (KR)
Kevin Smith (KS)
Kevin Venkiteswaran (KVN)
Khaidi Chu (XAX)
Kirill Cherkoshin (KCN)
Kris Gray (KGY)
Kristen Hewell Garrett (KHG)
Kris Kowal (KKL)
Krzysztof Kotowicz (KOT)
Kyle Barron-Kraus (KBK)
Kyle Verrier (KVR)
Lars Hansen (LHN)
Lea Verou (LVU)
Lee Byron (LB)
Lei Zhao (LZH)
Leland Richardson (LM)
Lenz Weber-Tronic (LWT)
Leo Balter (LEO)
Liang Wu (LWU)
Limin Zhu (LZU)
Lin Clark (LCK)
Linus Groh (LGH)
Liu ZiJian (LIU)
Logan Smyth (LSH)
Long Ho (LHO)
Louis Lafreniere (LL)
Luca Casonato (LCA)
Luigi Liquori (LLI)
Luis Fernando Pardo Sixtos (LFP)
Luke Hoban (LH)
Lyza Gardner (LGR)
Maël Nison (MNN)
Maggie Pint (MPT)
Manuel Jasso (MJN)
Mariko Kosaka (MKA)
Marja Hölttä (MHA)
Mark Cohen (MPC)
Mark E. Davis (MED)
Mark Honenberg (MH)
Mark S. Miller (MM)
Mark Stacey (MJS)
Markus W. Scherer (MWS)
Martin Alvarez-Espinar (MAE)
Mary Marchini (MAR)
Masud Rahman (MRN)
Mathias Bynens (MB)
Mathieu Hofman (MAH)
Matt Johnson (MAJ)
Matt Miller (MMR)
Matt Sweeney (MS)
Matthew Gaudet (MAG)
Mattijs Hoitink (MHK)
Maxim Aleksa (MAA)
Michael Ficarra (MF)
Michael Fig (MFG)
Michael Hablich (MHH)
Michael Saboff (MLS)
Michael Z Goddard (MZG)
Michal Hollman (MHN)
Michele Riva (MRA)
Mike Murry (MMY)
Mike Pennisi (MP)
Mike Samuel (MSL)
Mike West (MCW)
Mikeal Rogers (MRS)
Mikhail Barash (MBH)
Miles Maltbie (MME)
Min Gan (JXZ)
Min-qi Wu (MQW)
Ming Wang (WMM)
MingYuan Cheng (MYC)
Mira Gross (MGR)
Miško Hevery (MHY)
Mohamed Hegazy (MDH)
Morgan Phillips (MPS)
Mrelita Tiwari (MTI)
Mu-an Chiou (MCU)
Myles Borins (MBS)
Myles C. Maxfield (MCM)
Nagy Hostafa (NH)
Nan Shang (SNS)
Natalie Silvanovich (NSH)
Nathan Hammond (NHD)
Nebojša Ćirić (NC)
Nicholas Yang (NLY)
Nicolò Ribaudo (NRO)
Niko Matsakis (NM)
Nikolaus Papaspyrou (NPU)
Noah Tye (NTE)
Norbert Lindenberg (NL)
Oliver Hunt (OH)
Paolo Severini (PSI)
Patrick Soquet (PST)
Paul Leather (PLR)
Paul Leathers (PL)
Pedram Emrouznejad (PED)
Peter Frivalszky-Mayer (PFM)
Peter Hoddie (PHE)
Peter Jensen (PJ)
Peter Klecha (PKA)
Peter van der Zee (PZE)
Philip Chimento (PFC)
Philipp Dunkel (PDL)
Philippa Gardner (PGR)
Philippe Le Hégaret (PLH)
Phillip Mates (PMS)
Pierre-Marie Dartus (PMD)
Pieter Ouwerkerk (POK)
Qiang Tu (QTU)
Qiuyi Zhang (QZG)
Rafael Xavier (RX)
Rafeal Weinstein (RWN)
Randolf Jung (JHJ)
Randy Luecke (RLE)
Ravi Jayaramappan (RJN)
Rebecca Turner (RTR)
Reefath Rajali (RRI)
Reid Burke (RB)
Rex Jaeschke (RJE)
Richard Gibson (RGN)
Rick Button (RBU)
Rick Hudson (RH)
Rick Markins (RMS)
Rick Waldron (RW)
Rob Palmer (RPR)
Robert Pamely (RPY)
Robin Morisset (RMT)
Robin Ricard (RRD)
Rodrigo Fernandez (ROF)
Romulo Cintra (RCA)
Ron Buckton (RBN)
Rongjian Zhang (ZRJ)
Ross Kirsling (RKG)
Saam Barati (SBI)
Sam Goto (SGO)
Sam Mussell (SML)
Sam Tobin-Hochstadt (STH)
Samina Husain (SHN)
Sanket Joshi (SJI)
Santiago Díaz (SDZ)
Sarah D'Onofrio (SDO)
Sarah Groff Hennigh-Palermo (SHO)
Sathya Gunasekasan (SGN)
Satish Chondra (SC)
Scott Myers (SMS)
Scott Whittaker (SWR)
Sean Burke (SBE)
Sean Larkin (SLN)
Sebastian Markbåge (SM)
Sebastian McKenzie (SMK)
Seo-Young Hwang (SYH)
Sergey Rubanov (SRV)
Seth Brenith (SBH)
Seungmin An (SAN)
Shaheer Shabbir (SSR)
Shane Carr (SFC)
Shaundai Person (SPN)
Shelby Hubick (SHK)
Shelley Vohr (SVR)
Shi Jiang Yu (SJY)
Shruti Kapoor (SRK)
Shu-yu Guo (SYG)
Simon Kaegi (SK)
Song Yang Pu (SYP)
Songfeng Li (SLI)
Sora Morimoto (SMO)
Sri Pillalamarri (SPI)
Staffan Eketorp (SEP)
Staś Małolepszy (STM)
Stefan Penner (SP)
Stephen Murphy (SMY)
Steve Faulkner (SFR)
Steven Loomis (SRL)
Subo Zheng (SZH)
Sukyoung Ryu (SRU)
Sulekha Kulkarni (SKI)
Sung-Jae Lee (SJL)
Suraj Sharma (SUS)
Surma (SUR)
Sven Sauleau (SSA)
Szabolcs Szabolcsi-Toth (SZT)
Tab Atkins (TAB)
Tadeu Zagallo (TZO)
Tantek Çelik (TEK)
Tatiana Shpeisman (TS)
Taylor Woll (TW)
Theresa O'Connor (TOC)
Thomas Levy (TLY)
Thomas Nattestad (TND)
Thomas Wood (TWD)
Tianxing Yang (YTX)
Tianyang Xu (XTY)
Tierney Cyren (TCN)
Till Schneidereit (TST)
Tim Chevalier (TJC)
Tim Disney (TD)
Tim McClure (TME)
Timothy Gu (TGU)
Tobias Koppers (TKS)
Tom Care (TC)
Tom Dale (TDE)
Tom Kopp (TKP)
Tom Van-Cutsem (TVC)
Tomoki Imai (TII)
